episode,noise_amplitude,noise_probability,max_fidelity
0,0.0,0.0,0.7600537564545041
1,0.0,0.0,0.7600537564545041
2,0.0,0.0,0.7600537564545041
3,0.0,0.0,0.7600537564545041
4,0.0,0.0,0.7600537564545041
5,0.0,0.0,0.7600537564545041
6,0.0,0.0,0.7600537564545041
7,0.0,0.0,0.7600537564545041
8,0.0,0.0,0.7600537564545041
9,0.0,0.0,0.7600537564545041
10,0.0,0.0,0.7600537564545041
11,0.0,0.0,0.7600537564545041
12,0.0,0.0,0.7600537564545041
13,0.0,0.0,0.7600537564545041
14,0.0,0.0,0.7600537564545041
15,0.0,0.0,0.7600537564545041
16,0.0,0.0,0.7600537564545041
17,0.0,0.0,0.7600537564545041
18,0.0,0.0,0.7600537564545041
19,0.0,0.0,0.7600537564545041
20,0.0,0.0,0.7600537564545041
21,0.0,0.0,0.7600537564545041
22,0.0,0.0,0.7600537564545041
23,0.0,0.0,0.7600537564545041
24,0.0,0.0,0.7600537564545041
25,0.0,0.0,0.7600537564545041
26,0.0,0.0,0.7600537564545041
27,0.0,0.0,0.7600537564545041
28,0.0,0.0,0.7600537564545041
29,0.0,0.0,0.7600537564545041
30,0.0,0.0,0.7600537564545041
31,0.0,0.0,0.7600537564545041
32,0.0,0.0,0.7600537564545041
33,0.0,0.0,0.7600537564545041
34,0.0,0.0,0.7600537564545041
35,0.0,0.0,0.7600537564545041
36,0.0,0.0,0.7600537564545041
37,0.0,0.0,0.7600537564545041
38,0.0,0.0,0.7600537564545041
39,0.0,0.0,0.7600537564545041
40,0.0,0.0,0.7600537564545041
41,0.0,0.0,0.7600537564545041
42,0.0,0.0,0.7600537564545041
43,0.0,0.0,0.7600537564545041
44,0.0,0.0,0.7600537564545041
45,0.0,0.0,0.7600537564545041
46,0.0,0.0,0.7600537564545041
47,0.0,0.0,0.7600537564545041
48,0.0,0.0,0.7600537564545041
49,0.0,0.0,0.7600537564545041
0,0.0,0.1,0.7600537564545041
1,0.0,0.1,0.7600537564545041
2,0.0,0.1,0.7600537564545041
3,0.0,0.1,0.7600537564545041
4,0.0,0.1,0.7600537564545041
5,0.0,0.1,0.7600537564545041
6,0.0,0.1,0.7600537564545041
7,0.0,0.1,0.7600537564545041
8,0.0,0.1,0.7600537564545041
9,0.0,0.1,0.7600537564545041
10,0.0,0.1,0.7600537564545041
11,0.0,0.1,0.7600537564545041
12,0.0,0.1,0.7600537564545041
13,0.0,0.1,0.7600537564545041
14,0.0,0.1,0.7600537564545041
15,0.0,0.1,0.7600537564545041
16,0.0,0.1,0.7600537564545041
17,0.0,0.1,0.7600537564545041
18,0.0,0.1,0.7600537564545041
19,0.0,0.1,0.7600537564545041
20,0.0,0.1,0.7600537564545041
21,0.0,0.1,0.7600537564545041
22,0.0,0.1,0.7600537564545041
23,0.0,0.1,0.7600537564545041
24,0.0,0.1,0.7600537564545041
25,0.0,0.1,0.7600537564545041
26,0.0,0.1,0.7600537564545041
27,0.0,0.1,0.7600537564545041
28,0.0,0.1,0.7600537564545041
29,0.0,0.1,0.7600537564545041
30,0.0,0.1,0.7600537564545041
